UJO,43.2065209346,-5.79195904747
ABLAÑA,43.2676040568,-5.80479873605
SOTO DE REY,43.3074310877,-5.85722466796
LLAMAQUIQUE,43.3569086636,-5.8566759113
OVIEDO,43.3633322833,-5.85855883724
LUGONES,43.403628604,-5.81312905784
VILLABONA DE ASTURIAS,43.4616491467,-5.82567049651
SERIN,43.504368617,-5.7841948217
VERIÑA,43.5415406648,-5.7224764415
GIJON-JOVELLANOS,43.5392367191,-5.67511153596
GIJON-CERCANIAS,43.5408201421,-5.66718516457
OLLONIEGO,43.2961940291,-5.81876427963
TUDELA-VEGUIN,43.3310938643,-5.77674103733
EL ENTREGO,43.2872046616,-5.64467948997
NUBLEDO,43.5233524696,-5.87020115893
TRASONA,43.5553980121,-5.86307821074
AVILES,43.561294362,-5.9228323016
SAN JUAN DE NIEVA,43.5878952444,-5.93133835522
POAGO,43.5259722865,-5.73878818843
GIJON-PUERTO,43.5523828756,-5.68869185373
VIELLA,43.3891288256,-5.78603381246
OSORNO,42.4177586576,-4.35710472367
QUINTANILLA DE LAS TORRES,42.820466927,-4.20254747957
MATAPORQUERA,42.8715841423,-4.16428704126
REINOSA,42.9947278334,-4.14011999203
BARCENA,43.1287358729,-4.05455847205
LOS CORRALES DE BUELNA,43.2552258387,-4.06398098734
TORRELAVEGA,43.3275515983,-4.04271355919
SIERRAPANDO,43.3427487127,-4.02575251172
RENEDO,43.3512953007,-3.94716582461
GUARNIZO,43.3926848125,-3.85807153928
MURIEDAS,43.4269778986,-3.84841203011
SANTANDER,43.457792062,-3.81468513191
PORTAS,42.5879026066,-8.65821346169
A CORUÑA-SAN DIEGO,43.3572958737,-8.39725750652
RIO BERNESGA,42.5545430385,-5.58983600767
PONFERRADA-CLASIFICACION,42.5493808799,-6.60937922177
CENTRAL LECHERA,43.3878294792,-5.78297382354
CANTERA LUGONES,43.4037099735,-5.83759993453
PARQUE DE CARBONES DE ABOÑO,43.5508791517,-5.72481703689
EL MUSEL,43.5543286155,-5.69971502459
HUENEJA-DOLAR,37.2215041251,-2.94908598138
SAN JERONIMO,37.4326233057,-5.97600062653
MALAGA-PUERTO,36.7151101574,-4.42010869637
PORT DE CASTELLO,39.9755188391,0.0165152358493
TORTOSA,40.8072876614,0.523019864462
MADRID-ABROÑIGAL,40.3876173002,-3.67771081129
MADRID-PUERTA DE ATOCHA,40.4061578954,-3.68991179571
MANZANARES,39.0058108463,-3.37053891043
VALDEPEÑAS,38.7632806995,-3.39594535813
SANTA CRUZ DE MUDELA,38.6446292837,-3.45152693088
VENTA DE CARDENAS,38.4357203619,-3.49603420748
VADOLLANO,38.1355965527,-3.55786702341
LINARES-BAEZA,38.0691508258,-3.58932636365
ANDUJAR,38.0281846703,-4.06605264103
LOS SILES,38.0084312968,-4.23150675739
CAMPUS UNIVERSITARIO DE RABANALES,37.9125726118,-4.72057061893
CORDOBA-CENTRAL,37.8884861912,-4.78950189341
EL HIGUERON,37.8672811176,-4.85030940556
PALMA DEL RIO,37.7180871761,-5.29260829761
LORA DEL RIO,37.6611004319,-5.5309636987
LOS ROSALES,37.5898443059,-5.72521552996
MAJARABIQUE-ESTACION,37.4558067661,-5.96018882868
SEVILLA-SANTA JUSTA,37.3923393244,-5.97474949012
LA SALUD,37.3290886676,-5.96369357322
DOS HERMANAS,37.2871685558,-5.92341092289
UTRERA,37.183403227,-5.79001309841
LEBRIJA,36.9299760208,-6.08631549597
JEREZ DE LA FRONTERA,36.6800322969,-6.12645394161
PUERTO DE SANTA MARIA,36.6040067785,-6.21774015675
LAS ALETAS,36.5444662108,-6.19871242291
CORTADURA,36.4943744742,-6.26807190832
CADIZ,36.5291515852,-6.28809913089
ALGODOR,39.9142682713,-3.86296468576
QUART POBLET,39.4819110638,-0.443092995019
SAN MARTIN DE LA VEGA,40.2190775702,-3.56727476062
HELLIN,38.5087895206,-1.68855307273
CALASPARRA,38.2692254761,-1.67990485569
CIEZA,38.2465891962,-1.42179579082
ALCANTARILLA,37.972159793,-1.21575215584
MURCIA CARGAS,37.969628344,-1.19496495199
MURCIA DEL CARMEN,37.9748025636,-1.13155516639
EL REGUERON,38.0058691676,-1.02962958681
CARTAGENA,37.6050200331,-0.97500918793
ALCANTARILLA-LOS ROMANOS,37.9642537076,-1.21697403613
LORCA-SUTULLENA,37.67203285,-1.69624026381
ALMENDRICOS,37.4747508461,-1.77957397761
